LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
365,1,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
366,1,-11,1,1,0,0,0,+3.4082959351e+01,+4.4748419544e-01,+2.1329688895e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
367,1,12,1,1,0,0,0,-3.4082959351e+01,-4.4748419544e-01,-2.1329688895e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
371,2,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
372,2,11,1,1,0,0,0,-1.2553932447e+01,-7.4381701661e+00,+3.7468338544e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
373,2,-12,1,1,0,0,0,+1.2553932447e+01,+7.4381701661e+00,-3.7468338544e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
377,3,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
378,3,13,1,1,0,0,0,+1.4478339531e+01,-3.4225231508e+01,-1.5356275632e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
379,3,-14,1,1,0,0,0,-1.4478339531e+01,+3.4225231508e+01,+1.5356275632e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
383,4,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
384,4,11,1,1,0,0,0,-3.9445362360e+00,-3.3279295302e+01,+2.2220106360e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
385,4,-12,1,1,0,0,0,+3.9445362360e+00,+3.3279295302e+01,-2.2220106360e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
389,5,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
390,5,11,1,1,0,0,0,+7.4245877940e+00,+2.6546974009e+01,+2.9273497496e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
391,5,-12,1,1,0,0,0,-7.4245877940e+00,-2.6546974009e+01,-2.9273497496e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
395,6,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
396,6,-11,1,1,0,0,0,+1.8124687563e+01,-3.4795598171e+01,+8.8071582979e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
397,6,12,1,1,0,0,0,-1.8124687563e+01,+3.4795598171e+01,-8.8071582979e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
401,7,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
402,7,-13,1,1,0,0,0,-4.6688834862e-01,+3.9974712990e+01,+4.3137368059e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
403,7,14,1,1,0,0,0,+4.6688834862e-01,-3.9974712990e+01,-4.3137368059e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
407,8,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
408,8,13,1,1,0,0,0,-4.1653595346e+00,-1.9756859326e+01,-3.4772406849e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
409,8,-14,1,1,0,0,0,+4.1653595346e+00,+1.9756859326e+01,+3.4772406849e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
413,9,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
414,9,13,1,1,0,0,0,-1.8456768745e+01,+7.8675907483e+00,+3.4846128794e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
415,9,-14,1,1,0,0,0,+1.8456768745e+01,-7.8675907483e+00,-3.4846128794e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
419,10,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
420,10,-13,1,1,0,0,0,+4.9633217283e+00,+2.5913413349e+01,+3.0342452680e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
421,10,14,1,1,0,0,0,-4.9633217283e+00,-2.5913413349e+01,-3.0342452680e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
425,11,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
426,11,-13,1,1,0,0,0,+1.3857457189e+01,-3.7214480140e+01,+6.3132667281e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
